name,Complexity,Copy Number
beehiveatloaf_synth.rle,30.025651282564127,22
bargespaceship.rle,44.28401420071003,6
oquadloaf.rle,25.0,18
quasar3.rle,68.33281664083204,18
beaconontabletieeater.rle,17.0,1
moldon34p14shuttle.rle,37.89264463223161,6
p4hwvolcano.rle,54.999949997499876,36
rrx56h.rle,45.07995399769988,1
bargewithlongtail.rle,18.0,10
beehivewithtail.rle,16.0,38
beacon.rle,6.500025001250062,320
p36shuttle.rle,54.02735136756838,9
p6bumper.rle,57.27146357317866,13
beehivebendtail.rle,17.0,4
p12cloverleafhassler.rle,132.5003250162508,12
p6thumb.rle,26.666683334166706,21
beacon_synth.rle,97.35916795839792,1
beehat.rle,20.0,21
biblock.rle,10.0,99
beaconandlonghook_synth.rle,22.53257662883144,1
p5heavyweightvolcano2.rle,42.39996999849993,36
beehat_synth.rle,21.00650032501625,21
beaconandtwotails.rle,18.500025001250062,2
p960_2c5gun.rle,5538.162208110405,38
p4quintisnark.rle,60.40847042352117,4
ruler2.rle,282.046402320116,14
beehive.rle,13.0,544
biboat.rle,12.0,21
beaconandtwotails_synth.rle,48.00485024251213,1
beehivebendtail_synth.rle,110.54782739136957,4
pt38p.rle,20.070453522676132,5
bentkeys.rle,18.333366668333415,19
biloaf2.rle,19.0,17
blinkerpuffer1.rle,20.103455172758636,16
beehiveandlonghookeatingtub.rle,19.333266663333166,1
sphere.rle,140.05135256762838,19
blockade.rle,15.0,52
prepulsarshuttle55.rle,84.56357817890894,13
fireship_synth.rle,71.1259562978149,1
blocker.rle,16.75003750187509,99
mwssgun1.rle,119.00850042502124,10
44p12.3.rle,37.499274963748185,19
beehiveandlonghookeatingtub_synth.rle,51.38606930346517,1
biloaf2_synth.rle,71.06045302265113,1
beehivetesttubebaby.rle,18.0,6
biloaf3.rle,12.00330016500825,1
phisparkswithgliders.rle,31.982299114955747,24
prepulsarshuttle25.rle,62.000050002500124,98
prepulsarshuttle36.rle,166.80544027201358,13
queenbeeshuttlepairgun.rle,435.59047952397617,5
beehivewithnine_synth.rle,52.03885194259713,21
biloaf4.rle,12.0,3
blom.rle,34.0302015100755,9
prepulsarshuttle22.rle,55.454522726136304,13
prepulsarshuttle30.rle,30.432871643582178,27
prepulsarshuttle40.rle,73.22526126306315,13
rbeewithfeather.rle,19.0,4
tnp4v.rle,36.74993749687484,54
beehivewithtail_synth.rle,75.035201760088,1
bipole.rle,17.0,129
prepulsarshuttle42.rle,114.6426821341067,13
p5pipsquirter.rle,35.400070003500176,8
bentkeys_synth.rle,24.08310415520776,19
spider_synth.rle,2416.4635231761586,58
bipole_synth.rle,96.07860393019651,1
bheptomino.rle,5.008250412520626,215
bipoleonboat.rle,18.0,2
132p37_synth.rle,409.8268413420671,13
77p4h1v0.1.rle,25.144107205360267,5
bipond.rle,19.0,32
bheptomino_synth.rle,466.4179708985449,1
124p37_synth.rle,254.97634881744085,13
prepulsarshuttle64.rle,100.18845942297115,13
spiralgrowth.rle,4885.6091488129705,16
bipond_synth.rle,32.009200460023,32
rotatedtable.rle,17.0,9
birthdaypuffer.rle,584.4358717935896,7
biblock_synth.rle,71.07335366768338,1
blinkerpuffer2.rle,14.232761638081904,6
blinkerrotor.rle,0.0003000150007500375,1
bicap.rle,14.0,4
runnynose.rle,20.999899994999748,7
max.rle,237.4183209160458,67
prepulsarshuttle60.rle,58.61618080904045,13
shillelaghsiamesesnake.rle,12.0,5
bicap_synth.rle,19.03615180759038,4
shiponsnake.rle,15.0,12
blinkersbitpole.rle,19.500025001250062,9
biclock.rle,8.009250462523125,5
shipontripole.rle,23.0,8
blinker.rle,6.000050002500124,392
prepulsarshuttle44.rle,84.68268413420671,13
zebrastripes.rle,57.0,41
simkinglidergun_synth.rle,66.07550377518875,37
bigglider.rle,43.012650632531624,13
blinker_synth.rle,74.038801940097,1
simkinsp60.rle,61.49862493124656,10
snakeandtable.rle,12.0,7
torus.rle,74.2935646782339,19
bigglidertagalongs.rle,27.303065153257663,13
blinkership1.rle,25.182459122956146,10
bigs.rle,19.0,36
prepulsarshuttle32.rle,72.2813640682034,13
prepulsarshuttle90.rle,72.17805890294514,13
sqrtgun.rle,487.9516475823791,12
blinkerfuse.rle,24.012800640032,36
bigs_synth.rle,89.12525626281314,1
statorlessp3.rle,68.66648332416621,10
block.rle,13.0,1140
bigun.rle,94.21466073303665,14
blinkerfuse2.rle,28.04635231761588,36
snakewithfeather_synth.rle,33.04745237261863,31
blinkerfuse3.rle,25.001200060003,36
snarkbreaker.rle,35.42067103355168,9
blinkerfuse6c13.rle,19.597929896494826,36
bigun_synth.rle,137.05470273513674,14
spartangtoh.rle,187.87734386719336,10
24p2_synth.rle,74.02770138506925,3
biloaf1.rle,19.0,2
quasarwick.rle,62.000050002500124,18
spartangtomwss.rle,238.05275263763187,18
blinkerfuse_synth.rle,19.04255212760638,36
26p2_synth.rle,146.06160308015401,3
biloaf1_synth.rle,86.15155757787889,1
block_synth.rle,49.13725686284314,1
bipolebridgepseudobarberpole.rle,28.099954997749887,4
60p312_synth.rle,166.76998849942495,12
transcarriertiesnake.rle,15.0,2
