index,name,Complexity,Memetic Copy Number,Object Discovery Year
1473,pedestle.rle,35.79998999949997,10.0,1973
2495,blockoncover.rle,14.0,26.0,1973
670,tubwithtwodowncistails.rle,15.0,7.0,1973
312,gullwithtub.rle,15.0,5.0,1973
221,canoesiamesesnake.rle,14.0,6.0,1973
2634,beehivewithhookedtail.rle,17.0,20.0,1973
498,beehivewithnine.rle,15.0,21.0,1973
148,cisbargewithnine.rle,14.0,9.0,1973
2949,longsnakewithfeather.rle,13.0,6.0,1973
2736,cisboatwithlong3tail.rle,19.0,10.0,1973
1428,p54shuttle.rle,50.51887594379719,17.0,1973
1792,snorkelloop.rle,15.0,27.0,1973
265,carriersiamesecanoe.rle,16.0,2.0,1973
214,ciscarrierupontable.rle,11.0,2.0,1973
832,chemist.rle,33.800040002000095,13.0,1973
133,carriertieship.rle,16.0,2.0,1973
691,twelveloop.rle,20.0,17.0,1973
658,snakesiameseverylongsnake.rle,16.0,6.0,1973
2034,twopulsarquadrants.rle,21.666733336666837,5.0,1973
351,doubleclaw.rle,17.0,19.0,1973
846,circleoffire.rle,31.0,20.0,1973
903,crowd.rle,36.66663333166658,9.0,1973
2755,cistubwithlong4tail.rle,17.0,11.0,1973
3986,xs12_178421e8.rle,12.0,7.0,1973
2812,fusewithtailandnine.rle,16.0,8.0,1973
300,eaterheadsiameselongsnake.rle,17.0,6.0,1973
329,eaterwithtailfeather.rle,16.0,7.0,1973
2716,bunwithfeather.rle,19.0,8.0,1973
3193,transblockonlongbookend.rle,15.0,26.0,1973
107,boattieeatertail.rle,16.0,20.0,1973
3988,xs12_g88b52z23.rle,16.0,6.0,1973
2719,carrierbridgetable.rle,15.0,10.0,1973
690,tubwithtwouptranstails.rle,17.0,7.0,1973
192,cismangowithtail.rle,19.0,7.0,1973
2760,clawwithnine.rle,16.0,16.0,1973
647,transcarrierupontable.rle,12.0,2.0,1973
684,transbargewithnine.rle,14.0,10.0,1973
3151,shiptiesnake.rle,15.0,12.0,1973
58,beehiveontable.rle,17.0,21.0,1973
457,longboatwithlongtail.rle,16.0,6.0,1973
451,hookwithtailwithcape.rle,13.0,5.0,1973
210,ciscarriertiesnake.rle,14.0,2.0,1973
423,fusewithtwolongtails.rle,13.0,5.0,1973
2743,cislong4hookwithtail.rle,14.0,10.0,1973
206,ciscarrierdownontable.rle,14.0,2.0,1973
656,transmangowithtail.rle,16.0,15.0,1973
2727,cisblockonlongbookend.rle,15.0,24.0,1973
1775,snakebridgesnake.rle,9.0,18.0,1973
388,hookwithtwotails.rle,16.0,4.0,1973
3222,transverylonghookwithnine.rle,16.0,11.0,1973
320,eatertailsiameseeatertail.rle,16.0,8.0,1973
2697,boattieeaterhead.rle,19.0,10.0,1973
3201,transboatwithlong3tail.rle,14.0,9.0,1973
1325,newshuttle.rle,139.96429821491074,14.0,1973
157,brokenelevener.rle,16.0,4.0,1973
217,cislongbargewithtail.rle,14.0,6.0,1973
421,inflexion.rle,13.0,9.0,1973
1475,pentant.rle,31.600030001500077,9.0,1976
1969,unix.rle,17.166658332916644,111.0,1976
1009,extremelyimpressive.rle,27.33331666583329,4.0,1976
295,65p13.1.rle,42.15335766788339,6.0,1976
224,38p11.1.rle,30.363668183409168,13.0,1977
181,35p52.rle,40.13485674283714,7.0,1977
1045,fox.rle,17.500025001250062,14.0,1977
969,eater3.rle,28.0,45.0,1977
258,44p7.2.rle,30.57142857142857,29.0,1977
1981,tritoad.rle,37.0,10.0,1977
